,Mean,,,,,Std,,,,,
Algorithm,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Time
Forest 30 Tree,"0,9555239335","0,9659535327","0,9745567662","0,9012550065","0,9701826049","0,0096047432","0,0100489890","0,0093265413","0,0267801840","0,0065055636","17,65791583"
8 neighbour,"0,9501551687","0,9836509642","0,9487307987","0,9548755957","0,9658446007","0,0068448438","0,0070519002","0,0073156674","0,0182340936","0,0047028880","221,3632727"
10-50-50,"0,994060935","0,9966907718","0,9955034058","0,9896038141","0,9960900053","0,01188499235","0,005714189867","0,009983836894","0,01943563433","0,007728992645","641,3180056"
"SVC C=0,01","0,9652962546","0,9751093341","0,9784259783","0,9277419002","0,9767026795","0,007108661414","0,007539551139","0,01035753457","0,0214961528","0,004643765613","525,6474469"
