,Mean,,,,,Std,,,,,
Algorithm,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Time
Forest 30 Tree,"0,7745335745","0,7711798236","0,9904538048","0,1518738895","0,8669778684","0,0230887979","0,0234075573","0,0041492659","0,0289248671","0,0148942338","10,31091166"
8 neighbour,"0,9505383105","0,9836588535","0,9492376769","0,9548755957","0,9661129775","0,0066179325","0,0070498556","0,0068945495","0,0182340936","0,0045647627","43,33485532"
10-50-50,"0,9946356476","0,9964588578","0,9964727698","0,9888479011","0,9964637974","0,00977011494252875","0,005919159616","0,006474584998","0,01991329389","0,006039482201","267,9416571"
"SVC C=0,01","0,965104316","0,9751031177","0,9781614281","0,9277419002","0,9765681462","0,00697099571","0,007538528163","0,01024167949","0,0214961528","0,004558118319","139,3402832"
