Algorithm,Accuracy,Precision,Sensitivity,Specificity,F1 Score
10 Without (100 épocas),"0,7429008464","0,7429008464",1,0,"0,8524339679"
10-100 Without (100 épocas),"0,7429008464","0,7429008464",1,0,"0,8524339679"
10-100-100 Without (100 épocas),"0,7429008464","0,7429008464",1,0,"0,8524339679"
10-10 Without (100 épocas),"0,7620579346","0,7656886589","0,9943877551","0,09384615385","0,8627610587"
10-20 Without (100 épocas),"0,7429008464","0,7429008464",1,0,"0,8524339679"
10-10-10 Without (100 épocas),"0,7429008464","0,7429008464",1,0,"0,8524339679"
10-10-20 Without (100 épocas),"0,7429008464","0,7429008464",1,0,"0,8524339679"
10-20-20 Without (100 épocas),"0,7429008464","0,7429008464",1,0,"0,8524339679"
10-50-10 Without (100 épocas),"0,7429008464","0,7429008464",1,0,"0,8524339679"
10-10-50 Without (100 épocas),"0,7429008464","0,7429008464",1,0,"0,8524339679"
10-50-50 Without (100 épocas),"0,7429008464","0,7429008464",1,0,"0,8524339679"
10 Normal (10 épocas),"0,9654918702","0,9802174556","0,9738493805","0,9412420949","0,9765544958"
10-100 Normal (10 épocas),"0,9651135085","0,9711701632","0,9833684707","0,9106873342","0,9768553367"
10-100-100 Normal (10 épocas),"0,9741199138","0,9799144261","0,9857211849","0,9384897395","0,9826702302"
10-10 Normal (10 épocas),"0,9699064575","0,9768228362","0,9832525569","0,9303153431","0,9799249639"
10-20 Normal (10 épocas),"0,7429056265","0,7429056265",1,0,"0,8524111755"
10-10-10 Normal (10 épocas),"0,9631952258","0,9695969271","0,9821326741","0,9070036935","0,9754747017"
10-10-20 Normal (10 épocas),"0,9685595782","0,9788957221","0,9793565628","0,9365091812","0,9789086735"
10-20-20 Normal (10 épocas),"0,9681812165","0,9808797766","0,9767016952","0,941935295","0,9785807339"
10-50-10 Normal (10 épocas),"0,9656830734","0,9751254931","0,9797276616","0,9283307154","0,9770052687"
10-10-50 Normal (10 épocas),"0,9752730161","0,9881166648","0,9788122617","0,9653462984","0,9833179706"
10-50-50 Normal (10 épocas),"0,9653076533","0,968897481","0,9863449764","0,9026559903","0,977170936"
10 Normal (50 épocas),"0,7429056265","0,7429056265",1,0,"0,8524111755"
10-100 Normal (50 épocas),"0,9879306668","0,9945996107","0,9894279052","0,9848238016","0,9918947425"
10-100-100 Normal (50 épocas),"0,9695358175","0,9896034975","0,9695320555","0,9686111181","0,9779722289"
10-10 Normal (50 épocas),"0,9875405388","0,9933605078","0,9901147107","0,9798667527","0,9916902151"
10-20 Normal (50 épocas),"0,9852483067","0,9893648988","0,9911671904","0,9686085295","0,9901524407"
10-10-10 Normal (50 épocas),"0,9835175502","0,9848921221","0,9933975752","0,9543688848","0,9890658106"
10-10-20 Normal (50 épocas),"0,9850501173","0,9897229343","0,9904576511","0,9685992269","0,989998469"
10-20-20 Normal (50 épocas),"0,7429056265","0,7429056265",1,0,"0,8524111755"
10-50-10 Normal (50 épocas),"0,9100127959",nan,"0,8845610482","0,9765257443",nan
10-10-50 Normal (50 épocas),"0,9875464219","0,9921441281","0,9912923003","0,9759262685","0,9916716805"
10-50-50 Normal (50 épocas),"0,9808410734","0,9918874712","0,9825694245","0,9761100367","0,9869873301"
10 Normal (100 épocas),"0,7429056265","0,7429056265",1,0,"0,8524111755"
10-100 Normal (100 épocas),"0,9919536553","0,9926722339","0,9967297509","0,9774501388","0,9946903981"
10-100-100 Normal (100 épocas),"0,9293978571","0,9377024351","0,9864912102","0,7749037729","0,9574659429"
10-10 Normal (100 épocas),"0,9909961686","0,9931525769","0,9951301665","0,9771924468","0,9941017823"
10-20 Normal (100 épocas),"0,9913789426","0,9933499162","0,9953852538","0,9780959386","0,9943379654"
10-10-10 Normal (100 épocas),"0,9913789426","0,9927555236","0,9960049761","0,9774794687","0,9943336572"
10-10-20 Normal (100 épocas),"0,885625933","0,8916744477","0,990287689","0,5842655989","0,9332032013"
10-20-20 Normal (100 épocas),"0,9938693641","0,9942152973","0,9977558178","0,9818461411","0,9959783117"
10-50-10 Normal (100 épocas),"0,9911870041","0,9920329191","0,9967020923","0,9729723986","0,9943049623"
10-10-50 Normal (100 épocas),"0,9931030806","0,9945128838","0,9964737325","0,9823772441","0,9954783222"
10-50-50 Normal (100 épocas),"0,99348659","0,9961853967","0,9952410256","0,9880304467","0,9957089315"
10 Standard (10 épocas),"0,9825563866","0,9931922045","0,9834713022","0,9805576613","0,9881719734"
10-100 Standard (10 épocas),"0,9902298851","0,9933820197","0,9936856564","0,9799570415","0,9935111996"
10-100-100 Standard (10 épocas),"0,9890800921","0,9918699319","0,9936434279","0,9753317312","0,992746496"
