,Mean,,,,,Std,,,,,
Algorithm,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Time
Forest 30 Tree,"0,9413359219","0,9532903707","0,9685957800","0,8623416464","0,9608435831","0,0093917343","0,0100849361","0,0067988243","0,0293032171","0,0061560008","29,244604111"
8 neighbour,"0,9497712916","0,9696339125","0,9627762161","0,9126543913","0,9661275196","0,0117728507","0,0101538749","0,0119546392","0,0283725728","0,0077815326","1,223752975"
10-50-50,"0,946704319","0,9685903993","0,9595171251","0,9097127501","0,9639310373","0,007975055318","0,008267508165","0,01373223738","0,02462489498","0,005502823461","75,99651074"
"SVC C=0,01","0,9127653863","0,9114261385","0,9775184497","0,7255800108","0,9432862297","0,01230049987","0,01117721085","0,007954662432","0,03038926049","0,008339103729","0,06966471672"
